02 000 22 000 LA LOUISIANA                              173        430        8269    33610
02 000 05 000 AR ARKANSAS                               170        361        7887    33268
02 000 21 000 KY KENTUCKY                               166        432        6847    31166
02 000 55 000 WI WISCONSIN                              163        301        7572    32499
02 000 56 000 WY WYOMING                                144        340        7665    36562
02 000 18 000 IN INDIANA                                133        246        4835    25249
02 000 25 000 MA MASSACHUSETTS                          133        223        5231    23249
02 000 46 000 SD SOUTH DAKOTA                           110        238        5047    31249
02 000 31 000 NE NEBRASKA                               106        233        4751    30356
02 000 19 000 IA IOWA                                    94        189        4480    33213
02 000 28 000 MS MISSISSIPPI                             94        205        3839    25249
02 000 38 000 ND NORTH DAKOTA                            91        214        5582    33437
02 000 34 000 NJ NEW JERSEY                              89        191        3836    26249
02 000 23 000 ME MAINE                                   88        166        3620    24582
02 000 54 000 WV WEST VIRGINIA                           61        108        2098    23332
02 000 33 000 NH NEW HAMPSHIRE                           44         76        2259    25999
02 000 09 000 CT CONNECTICUT                             42         73        1646    17499
02 000 50 000 VT VERMONT                                 42         70        1652    28499
02 000 10 000 DE DELAWARE                                29         65        1451    38749
02 000 11 000 DC DISTRICT OF COLUMBIA                    27         40        1503    47499
02 000 44 000 RI RHODE ISLAND                            20         35         878    32499
04 000 96 000 AZ AZ Total Mig - US & For              83750     160840     3826139    25844
04 000 97 000 AZ AZ Total Mig - US                    81739     157168     3747948    25883
04 000 98 000 AZ AZ Total Mig - Foreign                2011       3672       78191    24677
04 000 04 000 AZ AZ Non-Migrants                    2011135    4498345   117870446    36089
04 000 06 000 CA CALIFORNIA                           15529      29106      681018    24334
04 000 48 000 TX TEXAS                                 7235      15399      349515    29022
04 000 08 000 CO COLORADO                              4576       8883      227287    28877
04 000 53 000 WA WASHINGTON                            4086       7548      203941    26816
04 000 35 000 NM NEW MEXICO                            3739       8051      146893    22399
04 000 32 000 NV NEVADA                                3396       6674      150681    26010
04 000 12 000 FL FLORIDA                               2779       4887      144635    26004
04 000 17 000 IL ILLINOIS                              2681       4547      130417    25044
04 000 49 000 UT UTAH                                  2616       6335      106165    24797
04 000 41 000 OR OREGON                                2581       4571      110291    24152
04 000 57 000 FR Foreign                               2011       3672       78191    24677
04 000 36 000 NY NEW YORK                              1995       3311       83582    23087
04 000 37 000 NC NORTH CAROLINA                        1729       3502       83600    28100
04 000 26 000 MI MICHIGAN                              1668       3062       70308    23202
04 000 39 000 OH OHIO                                  1628       2920       68623    23287
04 000 51 000 VA VIRGINIA                              1490       2911       86344    33850
04 000 42 000 PA PENNSYLVANIA                          1416       2526       66897    26386
04 000 27 000 MN MINNESOTA                             1411       2414       79466    27842
04 000 29 000 MO MISSOURI                              1374       2637       58450    25023
04 000 55 000 WI WISCONSIN                             1299       2254       63729    24313
04 000 13 000 GA GEORGIA                               1282       2604       63319    30166
04 000 16 000 ID IDAHO                                 1247       2686       57402    25378
04 000 18 000 IN INDIANA                               1122       2129       48697    26147
04 000 40 000 OK OKLAHOMA                              1073       2206       40142    22968
04 000 47 000 TN TENNESSEE                             1035       2011       49016    27360
04 000 20 000 KS KANSAS                                 971       2015       42101    26179
04 000 19 000 IA IOWA                                   953       1825       42920    28813
04 000 25 000 MA MASSACHUSETTS                          821       1244       39297    27015
04 000 15 000 HI HAWAII                                 744       1405       36539    26171
04 000 24 000 MD MARYLAND                               722       1337       38511    32601
04 000 30 000 MT MONTANA                                697       1331       33888    26033
04 000 34 000 NJ NEW JERSEY                             694       1198       36645    29437
04 000 31 000 NE NEBRASKA                               679       1336       28208    24294
04 000 05 000 AR ARKANSAS                               667       1310       26250    22643
04 000 45 000 SC SOUTH CAROLINA                         606       1223       28581    29705
04 000 21 000 KY KENTUCKY                               559       1067       25040    24122
04 000 01 000 AL ALABAMA                                528       1077       23123    26967
04 000 02 000 AK ALASKA                                 519        990       20514    25611
04 000 22 000 LA LOUISIANA                              497        977       18467    24942
04 000 56 000 WY WYOMING                                494        975       21148    26148
04 000 46 000 SD SOUTH DAKOTA                           477        864       19080    25499
04 000 09 000 CT CONNECTICUT                            354        623       18913    29699
04 000 28 000 MS MISSISSIPPI                            288        578       11811    25312
04 000 38 000 ND NORTH DAKOTA                           270        540       10919    26562
04 000 23 000 ME MAINE                                  266        493       11859    23803
04 000 33 000 NH NEW HAMPSHIRE                          255        441       10961    26666
04 000 54 000 WV WEST VIRGINIA                          169        316        8419    22999
04 000 11 000 DC DISTRICT OF COLUMBIA                   166        204        7294    26874
04 000 50 000 VT VERMONT                                133        214        5057    22832
04 000 44 000 RI RHODE ISLAND                           119        211        5790    23888
04 000 10 000 DE DELAWARE                               104        200        6197    33749
05 000 96 000 AR AR Total Mig - US & For              29933      60775     1221584    20765
05 000 97 000 AR AR Total Mig - US                    29443      59808     1203113    20698
05 000 98 000 AR AR Total Mig - Foreign                 490        967       18471    23184
05 000 05 000 AR AR Non-Migrants                     953152    2112481    45094227    28957
05 000 48 000 TX TEXAS                                 6069      12644      238256    21620
05 000 40 000 OK OKLAHOMA                              2977       6270       93321    20138
05 000 29 000 MO MISSOURI                              2729       5530       88112    18710
05 000 47 000 TN TENNESSEE                             1833       3568       69409    20982
05 000 22 000 LA LOUISIANA                             1457       3080       51527    20751
05 000 06 000 CA CALIFORNIA                            1380       2592       49336    17178
05 000 12 000 FL FLORIDA                               1234       2272       55086    20535
05 000 28 000 MS MISSISSIPPI                            936       2024       36645    23845
05 000 17 000 IL ILLINOIS                               890       1814       46394    18325
05 000 13 000 GA GEORGIA                                761       1600       34777    23238
05 000 20 000 KS KANSAS                                 675       1375       28911    21666
05 000 37 000 NC NORTH CAROLINA                         596       1249       28213    21617
05 000 08 000 CO COLORADO                               575       1145       22537    22142
05 000 04 000 AZ ARIZONA                                506        987       20987    20057
05 000 57 000 FR Foreign                                490        967       18471    23184
05 000 01 000 AL ALABAMA                                456        986       17315    23369
05 000 51 000 VA VIRGINIA                               437        840       21260    24740
05 000 53 000 WA WASHINGTON                             410        781       15139    20797
05 000 36 000 NY NEW YORK                               375        633       13589    20687
05 000 18 000 IN INDIANA                                373        757       13320    19694
05 000 26 000 MI MICHIGAN                               359        754       12530    15832
05 000 39 000 OH OHIO                                   358        738       24131    25499
05 000 21 000 KY KENTUCKY                               334        724       30790    23213
05 000 55 000 WI WISCONSIN                              299        617       37067    19090
05 000 19 000 IA IOWA                                   291        594       10229    19796
05 000 45 000 SC SOUTH CAROLINA                         279        551       11476    24599
05 000 32 000 NV NEVADA                                 252        510       15100    19678
05 000 27 000 MN MINNESOTA                              248        491       12405    20881
05 000 42 000 PA PENNSYLVANIA                           246        475       15723    22499
05 000 31 000 NE NEBRASKA                               218        457       11603    19166
05 000 35 000 NM NEW MEXICO                             209        416        8611    23166
05 000 41 000 OR OREGON                                 192        358        5114    14925
05 000 24 000 MD MARYLAND                               170        329        8868    30832
05 000 49 000 UT UTAH                                   155        326        6264    20624
05 000 34 000 NJ NEW JERSEY                             138        275        8779    30624
05 000 02 000 AK ALASKA                                 115        238        3820    18437
05 000 15 000 HI HAWAII                                 111        234        3445    19230
05 000 16 000 ID IDAHO                                  105        235        4116    23845
05 000 25 000 MA MASSACHUSETTS                          101        186        5452    30356
05 000 30 000 MT MONTANA                                 89        200        2875    18863
05 000 56 000 WY WYOMING                                 84        195        3543    26999
05 000 46 000 SD SOUTH DAKOTA                            74        144        4011    20312
05 000 54 000 WV WEST VIRGINIA                           56        119        2231    19582
05 000 09 000 CT CONNECTICUT                             50         79        2540    20832
05 000 11 000 DC DISTRICT OF COLUMBIA                    50         59        1747    27499
05 000 23 000 ME MAINE                                   40         75        1268    18499
05 000 33 000 NH NEW HAMPSHIRE                           35         65        1425    29999
05 000 38 000 ND NORTH DAKOTA                            34         61        1096    18570
05 000 50 000 VT VERMONT                                 31         51         875    25832
05 000 10 000 DE DELAWARE                                26         54        1072    22499
05 000 44 000 RI RHODE ISLAND                            25         51         771    20624
06 000 96 000 CA CA Total Mig - US & For             271521     523042    14708943    27576
06 000 97 000 CA CA Total Mig - US                   259085     500691    14017110    27634
06 000 98 000 CA CA Total Mig - Foreign               12436      22351      691833    26406
06 000 06 000 CA CA Non-Migrants                   12434953   27732366   833035738    38263
06 000 48 000 TX TEXAS                                30286      67309     1586155    28051
06 000 04 000 AZ ARIZONA                              21810      44639     1052221    26814
06 000 32 000 NV NEVADA                               20108      38770      952551    24665
06 000 53 000 WA WASHINGTON                           18046      34919     1036838    29264
06 000 41 000 OR OREGON                               14512      27063      765655    26477
06 000 36 000 NY NEW YORK                             12718      17623      795115    30440
06 000 57 000 FR Foreign                              12436      22351      691833    26406
06 000 08 000 CO COLORADO                             11224      21920      727356    32610
06 000 12 000 FL FLORIDA                              10364      18213      600596    27229
06 000 17 000 IL ILLINOIS                              7816      13636      455699    29523
06 000 51 000 VA VIRGINIA                              7131      14316      433480    36725
06 000 49 000 UT UTAH                                  6838      16383      293581    23268
06 000 37 000 NC NORTH CAROLINA                        6817      14291      392515    29596
06 000 13 000 GA GEORGIA                               6482      13332      322087    27028
06 000 15 000 HI HAWAII                                5398       9357      330204    27159
06 000 25 000 MA MASSACHUSETTS                         4836       7233      375588    32533
06 000 16 000 ID IDAHO                                 4576       9589      236005    26348
06 000 42 000 PA PENNSYLVANIA                          4296       7189      256348    28620
06 000 39 000 OH OHIO                                  4021       7344      209840    27246
06 000 29 000 MO MISSOURI                              3902       7549      192039    24413
06 000 35 000 NM NEW MEXICO                            3754       7252      184171    26545
06 000 47 000 TN TENNESSEE                             3740       7705      210949    27509
06 000 34 000 NJ NEW JERSEY                            3687       6422      272138    38582
06 000 24 000 MD MARYLAND                              3340       6003      200727    32635
06 000 26 000 MI MICHIGAN                              3320       6030      162260    24959
06 000 40 000 OK OKLAHOMA                              3294       6994      113620    21658
06 000 27 000 MN MINNESOTA                             2912       5190      202372    27659
06 000 18 000 IN INDIANA                               2871       5655      127877    24044
06 000 22 000 LA LOUISIANA                             2406       4501      104721    22226
06 000 05 000 AR ARKANSAS                              2370       5111       87548    20275
06 000 55 000 WI WISCONSIN                             2362       4335      108499    25014
06 000 20 000 KS KANSAS                                2268       4629       92008    24339
06 000 45 000 SC SOUTH CAROLINA                        2261       4486      114450    27842
06 000 30 000 MT MONTANA                               1834       3422      112606    26042
06 000 19 000 IA IOWA                                  1833       3463       75557    25091
06 000 09 000 CT CONNECTICUT                           1753       3039      154590    34649
06 000 01 000 AL ALABAMA                               1726       3556       83006    27285
06 000 21 000 KY KENTUCKY                              1674       3335       80928    26086
06 000 02 000 AK ALASKA                                1478       2743       57063    23763
06 000 31 000 NE NEBRASKA                              1408       2903       59776    24718
06 000 11 000 DC DISTRICT OF COLUMBIA                  1385       1658       82609    31774
06 000 28 000 MS MISSISSIPPI                           1198       2434       47141    24573
06 000 56 000 WY WYOMING                                914       1812       43621    25924
06 000 33 000 NH NEW HAMPSHIRE                          710       1234       45226    29386
06 000 46 000 SD SOUTH DAKOTA                           665       1231       35742    29294
06 000 23 000 ME MAINE                                  656       1128       35646    28795
06 000 44 000 RI RHODE ISLAND                           585       1109       33637    35332
06 000 38 000 ND NORTH DAKOTA                           447        779       17734    22943
06 000 50 000 VT VERMONT                                372        599       21150    27211
06 000 54 000 WV WEST VIRGINIA                          366        683       15647    23275
06 000 10 000 DE DELAWARE                               315        575       20218    28874
08 000 96 000 CO CO Total Mig - US & For              68815     129053     3451101    26941
08 000 97 000 CO CO Total Mig - US                    66866     125507     3360511    27027
08 000 98 000 CO CO Total Mig - Foreign                1949       3546       90590    24084
08 000 08 000 CO CO Non-Migrants                    1716995    3668262   114281243    40440
08 000 06 000 CA CALIFORNIA                            8075      13929      413317    26021
08 000 48 000 TX TEXAS                                 7113      15061      378842    28399
08 000 04 000 AZ ARIZONA                               4058       7692      221719    29264
08 000 12 000 FL FLORIDA                               3259       5843      180863    27071
08 000 53 000 WA WASHINGTON                            2559       4670      137692    28692
08 000 35 000 NM NEW MEXICO                            2337       4603      105237    24708
08 000 17 000 IL ILLINOIS                              1963       3346      104370    26999
08 000 57 000 FR Foreign                               1949       3546       90590    24084
08 000 36 000 NY NEW YORK                              1889       2824       83879    25034
08 000 49 000 UT UTAH                                  1814       4001       87272    26745
08 000 56 000 WY WYOMING                               1768       3299       76319    26169
08 000 20 000 KS KANSAS                                1724       3534       68521    24084
08 000 32 000 NV NEVADA                                1714       3200       78418    27197
08 000 41 000 OR OREGON                                1667       2858       74408    25337
08 000 51 000 VA VIRGINIA                              1634       3158       98343    35462
08 000 37 000 NC NORTH CAROLINA                        1481       2912       74088    28783
08 000 29 000 MO MISSOURI                              1458       2764       67163    26485
08 000 31 000 NE NEBRASKA                              1408       2752       58295    23818
08 000 40 000 OK OKLAHOMA                              1267       2573       57924    25940
08 000 13 000 GA GEORGIA                               1254       2528       60488    28408
08 000 27 000 MN MINNESOTA                             1170       2038       57614    26217
08 000 39 000 OH OHIO                                  1086       1966       59262    26099
08 000 42 000 PA PENNSYLVANIA                          1056       1867       62264    28200
08 000 26 000 MI MICHIGAN                               964       1743       44626    24969
08 000 19 000 IA IOWA                                   937       1735       43129    25328
08 000 30 000 MT MONTANA                                931       1710       41360    25937
08 000 55 000 WI WISCONSIN                              922       1656       43217    26590
08 000 47 000 TN TENNESSEE                              887       1739       41824    26470
08 000 25 000 MA MASSACHUSETTS                          871       1344       60733    28526
08 000 16 000 ID IDAHO                                  808       1692       40309    26181
08 000 18 000 IN INDIANA                                770       1453       35339    27777
08 000 24 000 MD MARYLAND                               765       1426       39605    29151
08 000 15 000 HI HAWAII                                 679       1215       31770    24745
08 000 22 000 LA LOUISIANA                              651       1253       26552    24963
08 000 46 000 SD SOUTH DAKOTA                           605       1150       26991    26861
08 000 45 000 SC SOUTH CAROLINA                         566       1189       35645    28471
08 000 34 000 NJ NEW JERSEY                             564        994       42496    28332
08 000 01 000 AL ALABAMA                                532       1115       28407    32433
08 000 05 000 AR ARKANSAS                               509        984       22544    26693
08 000 02 000 AK ALASKA                                 489        900       22726    28139
08 000 21 000 KY KENTUCKY                               474       1005       20688    29608
08 000 28 000 MS MISSISSIPPI                            360        712       12998    24241
08 000 09 000 CT CONNECTICUT                            352        635       23101    29249
08 000 38 000 ND NORTH DAKOTA                           314        559       12065    24877
08 000 11 000 DC DISTRICT OF COLUMBIA                   235        274       13655    30103
08 000 23 000 ME MAINE                                  220        363        8421    23260
08 000 33 000 NH NEW HAMPSHIRE                          215        374       11481    29642
08 000 50 000 VT VERMONT                                174        267        6447    23213
08 000 54 000 WV WEST VIRGINIA                          142        287        6579    26388
08 000 44 000 RI RHODE ISLAND                            95        159        8394    24721
08 000 10 000 DE DELAWARE                                81        156        3108    22187
09 000 96 000 CT CT Total Mig - US & For              44230      76197     3545534    31639
09 000 97 000 CT CT Total Mig - US                    42851      73746     3427804    31984
09 000 98 000 CT CT Total Mig - Foreign                1379       2451      117730    22229
09 000 09 000 CT CT Non-Migrants                    1345270    2781620   112353473    44402
09 000 36 000 NY NEW YORK                              7770      12108      630032    34111
