02 000 18 000 IN INDIANA                                176        330        6777    22221
02 000 24 000 MD MARYLAND                               167        318        7116    33332
02 000 22 000 LA LOUISIANA                              137        309        7239    32499
02 000 20 000 KS KANSAS                                 134        271        6038    26922
02 000 56 000 WY WYOMING                                128        227        6399    28749
02 000 25 000 MA MASSACHUSETTS                          126        222        4878    26499
02 000 34 000 NJ NEW JERSEY                             117        209        4482    26666
02 000 05 000 AR ARKANSAS                               115        238        3820    18437
02 000 23 000 ME MAINE                                  114        196        4214    24230
02 000 31 000 NE NEBRASKA                               100        188        4583    28332
02 000 19 000 IA IOWA                                    99        192        3486    21832
02 000 28 000 MS MISSISSIPPI                             94        204        3578    28570
02 000 38 000 ND NORTH DAKOTA                            78        185        3401    34166
02 000 46 000 SD SOUTH DAKOTA                            77        131        2928    26388
02 000 09 000 CT CONNECTICUT                             65         98        2130    22142
02 000 33 000 NH NEW HAMPSHIRE                           61        112        2772    28124
02 000 50 000 VT VERMONT                                 50         63        1663    22999
02 000 54 000 WV WEST VIRGINIA                           41         71        1292    20416
02 000 10 000 DE DELAWARE                                35         71        1189    25832
02 000 11 000 DC DISTRICT OF COLUMBIA                    23         40        1133    31249
02 000 44 000 RI RHODE ISLAND                            18         40         786    31666
04 000 96 000 AZ AZ Total Mig - US & For             104049     195871     5271942    26226
04 000 97 000 AZ AZ Total Mig - US                   100380     189870     5172293    26672
04 000 98 000 AZ AZ Total Mig - Foreign                3669       6001       99649    15144
04 000 04 000 AZ AZ Non-Migrants                    2011135    4498345   117870446    36089
04 000 06 000 CA CALIFORNIA                           21810      44639     1052221    26814
04 000 48 000 TX TEXAS                                 6117      11875      314837    27395
04 000 26 000 MI MICHIGAN                              4601       8158      199946    23558
04 000 17 000 IL ILLINOIS                              4455       7771      268246    28603
04 000 53 000 WA WASHINGTON                            4374       8255      238078    29971
04 000 08 000 CO COLORADO                              4058       7692      221719    29264
04 000 35 000 NM NEW MEXICO                            4032       8026      144869    22049
04 000 32 000 NV NEVADA                                3761       7407      185637    27430
04 000 12 000 FL FLORIDA                               3686       6540      187174    26685
04 000 57 000 FR Foreign                               3669       6001       99649    15144
04 000 36 000 NY NEW YORK                              3189       5432      168013    27616
04 000 39 000 OH OHIO                                  2977       5117      158206    25224
04 000 41 000 OR OREGON                                2370       4338      112563    24843
04 000 49 000 UT UTAH                                  2348       5344      105987    26958
04 000 27 000 MN MINNESOTA                             2172       3661      235499    26171
04 000 42 000 PA PENNSYLVANIA                          2147       3669      109493    25578
04 000 55 000 WI WISCONSIN                             2018       3316      107747    25655
04 000 29 000 MO MISSOURI                              1674       2984       70370    22965
04 000 18 000 IN INDIANA                               1652       2979       83021    25245
04 000 51 000 VA VIRGINIA                              1563       2957       98495    35603
04 000 37 000 NC NORTH CAROLINA                        1469       2940       71921    28332
04 000 13 000 GA GEORGIA                               1455       2898       68358    25109
04 000 34 000 NJ NEW JERSEY                            1430       2493      100630    34784
04 000 25 000 MA MASSACHUSETTS                         1182       1911       67111    28352
04 000 19 000 IA IOWA                                  1080       1809       64650    24537
04 000 47 000 TN TENNESSEE                             1068       2085       49829    27467
04 000 20 000 KS KANSAS                                1042       1967       53041    24303
04 000 40 000 OK OKLAHOMA                              1015       1975       45845    23515
04 000 24 000 MD MARYLAND                              1008       1856       60575    36278
04 000 16 000 ID IDAHO                                  960       1947       39469    23692
04 000 31 000 NE NEBRASKA                               892       1609       50101    24946
04 000 15 000 HI HAWAII                                 836       1665       39232    27536
04 000 02 000 AK ALASKA                                 749       1427       35353    29151
04 000 09 000 CT CONNECTICUT                            701       1159       50209    31735
04 000 30 000 MT MONTANA                                647       1136       30017    21355
04 000 45 000 SC SOUTH CAROLINA                         554       1144       27402    28832
04 000 21 000 KY KENTUCKY                               543       1042       22911    23437
04 000 22 000 LA LOUISIANA                              526       1021       39857    24207
04 000 56 000 WY WYOMING                                509        945       23392    27215
04 000 05 000 AR ARKANSAS                               506        987       20987    20057
04 000 01 000 AL ALABAMA                                501        948       23111    25892
04 000 46 000 SD SOUTH DAKOTA                           461        833       19765    26131
04 000 33 000 NH NEW HAMPSHIRE                          396        699       20497    25874
04 000 28 000 MS MISSISSIPPI                            359        722       13443    25299
04 000 38 000 ND NORTH DAKOTA                           352        607       19308    25644
04 000 23 000 ME MAINE                                  319        555       13169    23515
04 000 44 000 RI RHODE ISLAND                           177        300        8501    27499
04 000 54 000 WV WEST VIRGINIA                          174        299        8062    26249
04 000 50 000 VT VERMONT                                165        252        7254    22499
04 000 10 000 DE DELAWARE                               162        269        7692    32749
04 000 11 000 DC DISTRICT OF COLUMBIA                   138        210        8482    37856
05 000 96 000 AR AR Total Mig - US & For              33186      68066     1358525    21576
05 000 97 000 AR AR Total Mig - US                    32204      66464     1335641    21880
05 000 98 000 AR AR Total Mig - Foreign                 982       1602       22884    11493
05 000 05 000 AR AR Non-Migrants                     953152    2112481    45094227    28957
05 000 48 000 TX TEXAS                                 5373      11016      230832    22551
05 000 29 000 MO MISSOURI                              2927       5977       96120    19049
05 000 40 000 OK OKLAHOMA                              2803       6062       93608    20932
