02 000 01 000 AL ALABAMA                                157        396        7000    31499
02 000 20 000 KS KANSAS                                 147        370        5894    29317
02 000 21 000 KY KENTUCKY                               136        334        5905    26332
02 000 22 000 LA LOUISIANA                              135        322        6384    29820
02 000 05 000 AR ARKANSAS                               126        266        4346    24999
02 000 25 000 MA MASSACHUSETTS                          116        189        3972    23181
02 000 31 000 NE NEBRASKA                               114        235        4930    24037
02 000 56 000 WY WYOMING                                112        217        6733    28888
02 000 23 000 ME MAINE                                  104        165        3480    23499
02 000 46 000 SD SOUTH DAKOTA                            95        191        3739    28124
02 000 19 000 IA IOWA                                    93        161        2522    20555
02 000 34 000 NJ NEW JERSEY                              93        171        4000    22499
02 000 28 000 MS MISSISSIPPI                             87        189        3177    20681
02 000 38 000 ND NORTH DAKOTA                            85        197        3463    33570
02 000 09 000 CT CONNECTICUT                             60         77        1526    20249
02 000 33 000 NH NEW HAMPSHIRE                           55         90        1658    19544
02 000 50 000 VT VERMONT                                 44         74        1283    18999
02 000 54 000 WV WEST VIRGINIA                           44         88        1465    22499
02 000 10 000 DE DELAWARE                                30         70        1114    26999
02 000 11 000 DC DISTRICT OF COLUMBIA                    17         24         765    33124
02 000 44 000 RI RHODE ISLAND                            17         33         729    26666
04 000 96 000 AZ AZ Total Mig - US & For             108618     208468     5455816    26783
04 000 97 000 AZ AZ Total Mig - US                   105104     202706     5359598    27237
04 000 98 000 AZ AZ Total Mig - Foreign                3514       5762       96218    16951
04 000 04 000 AZ AZ Non-Migrants                    1888565    4256792   110701247    36127
04 000 06 000 CA CALIFORNIA                           26081      55911     1326089    28451
04 000 48 000 TX TEXAS                                 6130      12178      294705    27746
04 000 17 000 IL ILLINOIS                              4700       8342      284078    28896
04 000 53 000 WA WASHINGTON                            4380       8010      241153    27582
04 000 26 000 MI MICHIGAN                              4010       7172      183246    24922
04 000 08 000 CO COLORADO                              3945       7420      220431    28780
04 000 35 000 NM NEW MEXICO                            3889       8025      151128    21824
04 000 12 000 FL FLORIDA                               3765       6674      185669    27543
04 000 32 000 NV NEVADA                                3708       7292      175068    28001
04 000 57 000 FR Foreign                               3514       5762       96218    16951
04 000 36 000 NY NEW YORK                              3426       6022      186055    27628
04 000 39 000 OH OHIO                                  3209       5454      160386    25536
04 000 41 000 OR OREGON                                2392       4408      106462    24792
04 000 49 000 UT UTAH                                  2377       5340      103076    27462
04 000 42 000 PA PENNSYLVANIA                          2219       3887      117627    27320
04 000 27 000 MN MINNESOTA                             2155       3687      131255    28070
04 000 55 000 WI WISCONSIN                             2106       3499      119009    25272
04 000 18 000 IN INDIANA                               1783       3294       91617    26434
04 000 51 000 VA VIRGINIA                              1752       3421      134797    37606
04 000 29 000 MO MISSOURI                              1592       2853       82182    24669
04 000 37 000 NC NORTH CAROLINA                        1500       2970       73456    27479
04 000 34 000 NJ NEW JERSEY                            1437       2672      104636    35814
04 000 13 000 GA GEORGIA                               1368       2753       72584    28699
04 000 25 000 MA MASSACHUSETTS                         1321       2199       74928    30424
04 000 19 000 IA IOWA                                  1160       1991       51438    24741
04 000 20 000 KS KANSAS                                1110       2112       48372    24143
