02 000 24 000 MD MARYLAND                               151        312        7215    31499
02 000 20 000 KS KANSAS                                 145        330        5305    27082
02 000 56 000 WY WYOMING                                136        282        7235    31874
02 000 21 000 KY KENTUCKY                               132        287        4416    20312
02 000 22 000 LA LOUISIANA                              127        287        4896    24499
02 000 18 000 IN INDIANA                                120        246        4987    23653
02 000 34 000 NJ NEW JERSEY                             115        222        4667    27646
02 000 38 000 ND NORTH DAKOTA                           113        258        4877    29374
02 000 31 000 NE NEBRASKA                               104        211        4755    28888
02 000 46 000 SD SOUTH DAKOTA                           101        237        4813    32499
02 000 25 000 MA MASSACHUSETTS                          100        155        3764    20535
02 000 28 000 MS MISSISSIPPI                             90        228        4270    35832
02 000 23 000 ME MAINE                                   88        177        3229    25937
02 000 19 000 IA IOWA                                    66        134        2566    23749
02 000 54 000 WV WEST VIRGINIA                           51        103        1976    25416
02 000 50 000 VT VERMONT                                 43         78        1734    23888
02 000 33 000 NH NEW HAMPSHIRE                           42         81        1958    34166
02 000 09 000 CT CONNECTICUT                             35         59        1081    22726
02 000 10 000 DE DELAWARE                                28         55         755    21249
02 000 11 000 DC DISTRICT OF COLUMBIA                    22         40        1290    39999
02 000 44 000 RI RHODE ISLAND                            15         29         722    42499
04 000 96 000 AZ AZ Total Mig - US & For              78466     152416     3655335    26445
04 000 97 000 AZ AZ Total Mig - US                    76482     148816     3579566    26499
04 000 98 000 AZ AZ Total Mig - Foreign                1984       3600       75768    24924
04 000 04 000 AZ AZ Non-Migrants                    1888565    4256792   110701247    36127
04 000 06 000 CA CALIFORNIA                           13326      24503      595163    24517
04 000 48 000 TX TEXAS                                 7303      15714      389143    30738
04 000 08 000 CO COLORADO                              4304       8390      226298    29906
04 000 53 000 WA WASHINGTON                            3751       6999      173906    27099
04 000 35 000 NM NEW MEXICO                            3556       7546      128811    22690
04 000 32 000 NV NEVADA                                3305       6327      163043    27005
04 000 17 000 IL ILLINOIS                              2635       4726      120291    26387
04 000 12 000 FL FLORIDA                               2589       4722      122466    25722
04 000 49 000 UT UTAH                                  2498       6104      117938    28030
04 000 41 000 OR OREGON                                2476       4455      103983    25488
04 000 57 000 FR Foreign                               1984       3600       75768    24924
04 000 36 000 NY NEW YORK                              1708       2801       66540    22942
04 000 37 000 NC NORTH CAROLINA                        1701       3592       98282    31358
04 000 39 000 OH OHIO                                  1536       2873       69920    24021
04 000 51 000 VA VIRGINIA                              1472       2905       86658    33660
04 000 27 000 MN MINNESOTA                             1467       2637       77291    31078
04 000 29 000 MO MISSOURI                              1429       2800       60306    25693
04 000 26 000 MI MICHIGAN                              1346       2498       58648    22361
04 000 13 000 GA GEORGIA                               1333       2779       66650    29430
04 000 42 000 PA PENNSYLVANIA                          1257       2309       57881    25875
04 000 16 000 ID IDAHO                                 1226       2820       55367    27352
04 000 55 000 WI WISCONSIN                             1215       2232       50163    26261
04 000 18 000 IN INDIANA                               1155       2259       46283    23390
04 000 40 000 OK OKLAHOMA                              1091       2269       39378    22142
04 000 47 000 TN TENNESSEE                             1040       2138       47779    26641
04 000 19 000 IA IOWA                                   925       1825       43681    24638
04 000 20 000 KS KANSAS                                 866       1913       39147    28678
04 000 25 000 MA MASSACHUSETTS                          703       1114       35556    26207
04 000 30 000 MT MONTANA                                693       1292       35681    24078
04 000 24 000 MD MARYLAND                               677       1226       36550    29947
04 000 34 000 NJ NEW JERSEY                             665       1178       45616    29564
04 000 05 000 AR ARKANSAS                               645       1302       26250    23877
04 000 15 000 HI HAWAII                                 629       1152       27452    25044
04 000 31 000 NE NEBRASKA                               571       1104       23719    25599
04 000 45 000 SC SOUTH CAROLINA                         538       1070       26272    29062
04 000 22 000 LA LOUISIANA                              514       1009       18017    21409
04 000 21 000 KY KENTUCKY                               509       1042       21159    24843
04 000 56 000 WY WYOMING                                485        994       22126    29195
04 000 02 000 AK ALASKA                                 484        891       17470    25903
04 000 01 000 AL ALABAMA                                483       1019       24570    29832
04 000 46 000 SD SOUTH DAKOTA                           423        830       23174    30794
04 000 09 000 CT CONNECTICUT                            368        630       23272    27575
04 000 28 000 MS MISSISSIPPI                            297        624       13490    24761
04 000 38 000 ND NORTH DAKOTA                           230        417        8842    23067
04 000 23 000 ME MAINE                                  228        407       10226    22499
04 000 33 000 NH NEW HAMPSHIRE                          216        367        7774    25095
04 000 11 000 DC DISTRICT OF COLUMBIA                   137        175        7394    38076
04 000 54 000 WV WEST VIRGINIA                          134        263        5172    23499
04 000 50 000 VT VERMONT                                122        221        4958    26666
04 000 44 000 RI RHODE ISLAND                           114        165        4026    26041
04 000 10 000 DE DELAWARE                               107        188        5786    33999
05 000 96 000 AR AR Total Mig - US & For              28904      59282     1121352    20910
05 000 97 000 AR AR Total Mig - US                    28345      58237     1101840    20914
05 000 98 000 AR AR Total Mig - Foreign                 559       1045       19512    20792
05 000 05 000 AR AR Non-Migrants                     903746    2030965    41869535    28798
05 000 48 000 TX TEXAS                                 5471      11518      211646    21342
05 000 40 000 OK OKLAHOMA                              2711       5861       86184    20128
05 000 29 000 MO MISSOURI                              2707       5647       88361    19743
05 000 47 000 TN TENNESSEE                             1920       3775       66458    20638
05 000 22 000 LA LOUISIANA                             1549       3322       48526    17813
05 000 06 000 CA CALIFORNIA                            1331       2503       42494    17131
05 000 12 000 FL FLORIDA                               1278       2430       67827    22238
05 000 28 000 MS MISSISSIPPI                            947       2031       34071    22092
05 000 17 000 IL ILLINOIS                               853       1623       42140    19999
05 000 13 000 GA GEORGIA                                815       1729       33140    20776
05 000 20 000 KS KANSAS                                 600       1211       23205    22711
05 000 37 000 NC NORTH CAROLINA                         584       1219       23920    24396
05 000 57 000 FR Foreign                                559       1045       19512    20792
05 000 08 000 CO COLORADO                               511       1012       19192    21738
05 000 01 000 AL ALABAMA                                502       1100       21951    28666
05 000 04 000 AZ ARIZONA                                489        993       20059    22722
05 000 51 000 VA VIRGINIA                               447        917       19791    26612
05 000 53 000 WA WASHINGTON                             375        753       12799    20580
05 000 26 000 MI MICHIGAN                               352        737       14453    17082
05 000 21 000 KY KENTUCKY                               341        743       12794    18437
05 000 18 000 IN INDIANA                                340        673       11133    16462
05 000 36 000 NY NEW YORK                               335        555       10818    18719
05 000 39 000 OH OHIO                                   317        719       15400    24374
05 000 19 000 IA IOWA                                   283        633       10334    22395
05 000 55 000 WI WISCONSIN                              272        545       10996    20977
05 000 45 000 SC SOUTH CAROLINA                         264        551       11389    24999
05 000 42 000 PA PENNSYLVANIA                           253        507       33022    25416
05 000 27 000 MN MINNESOTA                              248        540       11589    20788
05 000 32 000 NV NEVADA                                 226        436        8738    24431
05 000 35 000 NM NEW MEXICO                             202        427        7815    25832
05 000 41 000 OR OREGON                                 198        376        7030    16441
05 000 24 000 MD MARYLAND                               180        340        8714    28845
05 000 31 000 NE NEBRASKA                               158        336        7000    20624
05 000 34 000 NJ NEW JERSEY                             153        286        9587    35416
05 000 49 000 UT UTAH                                   133        307        5711    22499
05 000 25 000 MA MASSACHUSETTS                          130        213        4903    21345
